,EVSE ID,Port,Station Name,Plug In Event Id,Plug Connect Time,Plug Disconnect Time,Power Start Time,Power End Time,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Start Time,End Time,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),Gasoline Savings,Port Type,Address 1,City,State/Province,Postal Code,Country,Latitude,Longitude,Ended By,Driver Postal Code
0,212301,1,PACKSIZE / CLEAN AIR 2,321533271,2018-10-31 14:36:00,,2018-10-31 14:36:00,,,,,2018-10-31 14:36:00,2018-10-31 17:02:00,0 days 02:25:22.000000000,0 days 02:07:51.000000000,3.8794989999999996,0.48700000000000004,Level 2,3784 Commons Ln,Salt Lake City,Utah,84104.0,United States,40.74235153,-111.9812622,Plug Out at Vehicle,84111.0
1,212301,1,,321533271,,,2018-10-31 14:36:00,2018-10-31 14:44:00,3.647,3.536,0.4911,,,,,,,,,,,,,,,,
2,212301,1,,321533271,,,2018-10-31 14:45:00,2018-10-31 14:59:00,3.6430000000000002,3.6439999999999997,0.91096,,,,,,,,,,,,,,,,
3,212301,1,,321533271,,,2018-10-31 15:00:00,2018-10-31 15:14:00,3.642,3.5060000000000002,0.876474,,,,,,,,,,,,,,,,
4,212301,1,,321533271,,,2018-10-31 15:15:00,2018-10-31 15:29:00,3.207,2.061,0.515323,,,,,,,,,,,,,,,,
5,212301,1,,321533271,,,2018-10-31 15:30:00,2018-10-31 15:44:00,2.158,1.304,0.325871,,,,,,,,,,,,,,,,
6,212301,1,,321533271,,,2018-10-31 15:45:00,2018-10-31 15:59:00,1.901,1.3330000000000002,0.333341,,,,,,,,,,,,,,,,
7,212301,1,,321533271,,,2018-10-31 16:00:00,2018-10-31 16:14:00,1.857,1.07,0.267403,,,,,,,,,,,,,,,,
8,212301,1,,321533271,,,2018-10-31 16:15:00,2018-10-31 16:29:00,1.34,0.392,0.098089,,,,,,,,,,,,,,,,
9,212301,1,,321533271,,,2018-10-31 16:30:00,2018-10-31 16:44:00,1.334,0.244,0.060938,,,,,,,,,,,,,,,,
10,212301,1,,321533271,,,2018-10-31 16:45:00,2018-10-31 16:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
11,212301,1,,321533271,,,2018-10-31 17:00:00,2018-10-31 17:02:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
12,212301,1,,321533271,,2018-10-31 17:02:00,,,,,,,,,,,,,,,,,,,,,
25,212301,2,PACKSIZE / CLEAN AIR 2,321279121,2018-10-31 09:39:00,,2018-10-31 09:39:00,,,,,2018-10-31 09:39:00,2018-10-31 16:27:00,0 days 06:48:22.000000000,0 days 02:22:10.000000000,13.759203,1.7269999999999999,Level 2,3784 Commons Ln,Salt Lake City,Utah,84104.0,United States,40.74235153,-111.9812622,Plug Out at Vehicle,84065.0
26,212301,2,,321279121,,,2018-10-31 09:39:00,2018-10-31 09:44:00,6.131,5.777,0.52796,,,,,,,,,,,,,,,,
27,212301,2,,321279121,,,2018-10-31 09:45:00,2018-10-31 09:59:00,6.122999999999999,6.061,1.515233,,,,,,,,,,,,,,,,
28,212301,2,,321279121,,,2018-10-31 10:00:00,2018-10-31 10:14:00,6.06,6.005,1.501306,,,,,,,,,,,,,,,,
29,212301,2,,321279121,,,2018-10-31 10:15:00,2018-10-31 10:29:00,6.035,6.01,1.502442,,,,,,,,,,,,,,,,
30,212301,2,,321279121,,,2018-10-31 10:30:00,2018-10-31 10:44:00,6.029,5.982,1.495555,,,,,,,,,,,,,,,,
31,212301,2,,321279121,,,2018-10-31 10:45:00,2018-10-31 10:59:00,6.063,6.0329999999999995,1.5083090000000001,,,,,,,,,,,,,,,,
32,212301,2,,321279121,,,2018-10-31 11:00:00,2018-10-31 11:14:00,6.042999999999999,5.919,1.479729,,,,,,,,,,,,,,,,
33,212301,2,,321279121,,,2018-10-31 11:15:00,2018-10-31 11:29:00,6.077999999999999,6.03,1.5076120000000002,,,,,,,,,,,,,,,,
34,212301,2,,321279121,,,2018-10-31 11:30:00,2018-10-31 11:44:00,6.097,6.04,1.510011,,,,,,,,,,,,,,,,
35,212301,2,,321279121,,,2018-10-31 11:45:00,2018-10-31 11:59:00,6.129,4.718,1.179432,,,,,,,,,,,,,,,,
36,212301,2,,321279121,,,2018-10-31 12:00:00,2018-10-31 12:14:00,1.188,0.127,0.031613999999999996,,,,,,,,,,,,,,,,
37,212301,2,,321279121,,,2018-10-31 12:15:00,2018-10-31 12:29:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
38,212301,2,,321279121,,,2018-10-31 12:30:00,2018-10-31 12:44:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
39,212301,2,,321279121,,,2018-10-31 12:45:00,2018-10-31 12:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
40,212301,2,,321279121,,,2018-10-31 13:00:00,2018-10-31 13:14:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
41,212301,2,,321279121,,,2018-10-31 13:15:00,2018-10-31 13:29:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
42,212301,2,,321279121,,,2018-10-31 13:30:00,2018-10-31 13:44:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
43,212301,2,,321279121,,,2018-10-31 13:45:00,2018-10-31 13:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
44,212301,2,,321279121,,,2018-10-31 14:00:00,2018-10-31 14:14:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
45,212301,2,,321279121,,,2018-10-31 14:15:00,2018-10-31 14:29:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
46,212301,2,,321279121,,,2018-10-31 14:30:00,2018-10-31 14:44:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
47,212301,2,,321279121,,,2018-10-31 14:45:00,2018-10-31 14:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
48,212301,2,,321279121,,,2018-10-31 15:00:00,2018-10-31 15:14:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
49,212301,2,,321279121,,,2018-10-31 15:15:00,2018-10-31 15:29:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
50,212301,2,,321279121,,,2018-10-31 15:30:00,2018-10-31 15:44:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
51,212301,2,,321279121,,,2018-10-31 15:45:00,2018-10-31 15:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
52,212301,2,,321279121,,,2018-10-31 16:00:00,2018-10-31 16:14:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
53,212301,2,,321279121,,,2018-10-31 16:15:00,2018-10-31 16:27:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
54,212301,2,,321279121,,2018-10-31 16:27:00,,,,,,,,,,,,,,,,,,,,,
699,212301,1,PACKSIZE / CLEAN AIR 2,320465351,2018-10-30 08:19:00,,2018-10-30 08:19:00,,,,,2018-10-30 08:19:00,2018-10-30 17:17:00,0 days 08:58:09.000000000,0 days 02:20:44.000000000,4.317651000000001,0.542,Level 2,3784 Commons Ln,Salt Lake City,Utah,84104.0,United States,40.74235153,-111.9812622,Plug Out at Vehicle,84111.0
700,212301,1,,320465351,,,2018-10-30 08:19:00,2018-10-30 08:29:00,3.653,3.557,0.628436,,,,,,,,,,,,,,,,
701,212301,1,,320465351,,,2018-10-30 08:30:00,2018-10-30 08:44:00,3.648,3.6439999999999997,0.911068,,,,,,,,,,,,,,,,
702,212301,1,,320465351,,,2018-10-30 08:45:00,2018-10-30 08:59:00,3.648,3.6489999999999996,0.912177,,,,,,,,,,,,,,,,
703,212301,1,,320465351,,,2018-10-30 09:00:00,2018-10-30 09:14:00,3.6439999999999997,2.543,0.63583,,,,,,,,,,,,,,,,
704,212301,1,,320465351,,,2018-10-30 09:15:00,2018-10-30 09:29:00,1.913,1.3230000000000002,0.330756,,,,,,,,,,,,,,,,
705,212301,1,,320465351,,,2018-10-30 09:30:00,2018-10-30 09:44:00,1.165,0.7090000000000001,0.177303,,,,,,,,,,,,,,,,
706,212301,1,,320465351,,,2018-10-30 09:45:00,2018-10-30 09:59:00,1.275,0.375,0.09373300000000001,,,,,,,,,,,,,,,,
707,212301,1,,320465351,,,2018-10-30 10:00:00,2018-10-30 10:14:00,1.263,0.247,0.061844,,,,,,,,,,,,,,,,
708,212301,1,,320465351,,,2018-10-30 10:15:00,2018-10-30 10:29:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
709,212301,1,,320465351,,,2018-10-30 10:30:00,2018-10-30 10:44:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
710,212301,1,,320465351,,,2018-10-30 10:45:00,2018-10-30 10:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
711,212301,1,,320465351,,,2018-10-30 11:00:00,2018-10-30 11:14:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
712,212301,1,,320465351,,,2018-10-30 11:15:00,2018-10-30 11:29:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
713,212301,1,,320465351,,,2018-10-30 11:30:00,2018-10-30 11:44:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
714,212301,1,,320465351,,,2018-10-30 11:45:00,2018-10-30 11:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
715,212301,1,,320465351,,,2018-10-30 12:00:00,2018-10-30 12:14:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
716,212301,1,,320465351,,,2018-10-30 12:15:00,2018-10-30 12:29:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
717,212301,1,,320465351,,,2018-10-30 12:30:00,2018-10-30 12:44:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
718,212301,1,,320465351,,,2018-10-30 12:45:00,2018-10-30 12:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
719,212301,1,,320465351,,,2018-10-30 13:00:00,2018-10-30 13:14:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
720,212301,1,,320465351,,,2018-10-30 13:15:00,2018-10-30 13:29:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
721,212301,1,,320465351,,,2018-10-30 13:30:00,2018-10-30 13:44:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
722,212301,1,,320465351,,,2018-10-30 13:45:00,2018-10-30 13:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
723,212301,1,,320465351,,,2018-10-30 14:00:00,2018-10-30 14:14:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
724,212301,1,,320465351,,,2018-10-30 14:15:00,2018-10-30 14:29:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
725,212301,1,,320465351,,,2018-10-30 14:30:00,2018-10-30 14:44:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
726,212301,1,,320465351,,,2018-10-30 14:45:00,2018-10-30 14:59:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
727,212301,1,,320465351,,,2018-10-30 15:00:00,2018-10-30 15:14:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,
