TIME,XFID,NAME,SERIALNUMBER,KWH,KVAH,KWH-REV,KVAH-REV,KWHA,KVAHA,KWHA-REV,KVAHA-REV,VRMSA,VAVGA,IRMSA,IAVGA,VMAXA,VMINA,IMAXA,IMINA,KWHB,KVAHB,KWHB-REV,KVAHB-REV,VRMSB,VAVGB,IRMSB,IAVGB,VMAXB,VMINB,IMAXB,IMINB,KWHC,KVAHC,KWHC-REV,KVAHC-REV,VRMSC,VAVGC,IRMSC,IAVGC,VMAXC,VMINC,IMAXC,IMINC,ANGLEA,ANGLEB,ANGLEC,TEMPC,TEMPF,LINE-FREQ
2017-10-18T06:05+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5264.250, 240.665, 257.395, 0.405, 1773.262, 279.5, 279.8, 14.0, 14.0, 280.1, 278.8, 14.0, 14.0,238.185, 259.699, 0.342, 1759.315, 279.4, 279.6, 13.9, 13.9, 280.0, 278.7, 13.9, 13.9,225.737, 245.566, 0.297, 1731.673, 279.0, 279.1, 13.8, 13.8, 279.4, 278.1, 13.8, 13.8,270,271,272,39,102.2,59.99
2017-10-18T06:10+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5265.222, 240.665, 257.395, 0.405, 1773.589, 279.9, 279.7, 14.0, 14.0, 280.0, 279.4, 14.1, 14.0,238.185, 259.699, 0.342, 1759.639, 279.7, 279.6, 13.9, 13.9, 279.9, 279.3, 13.9, 13.9,225.737, 245.566, 0.297, 1731.994, 279.1, 279.0, 13.8, 13.8, 279.3, 278.8, 13.8, 13.8,270,269,271,39,102.2,59.99
2017-10-18T06:15+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5266.193, 240.665, 257.395, 0.405, 1773.916, 279.7, 279.8, 14.0, 14.0, 280.1, 279.1, 14.0, 14.0,238.185, 259.699, 0.342, 1759.963, 279.5, 279.6, 13.9, 13.9, 279.9, 279.1, 13.9, 13.9,225.737, 245.566, 0.297, 1732.314, 278.9, 279.0, 13.8, 13.8, 279.3, 278.4, 13.8, 13.8,270,271,272,39,102.2,59.99
2017-10-18T06:20+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5267.164, 240.665, 257.395, 0.405, 1774.242, 279.9, 279.7, 14.0, 14.0, 280.0, 279.4, 14.0, 14.0,238.185, 259.699, 0.342, 1760.287, 279.7, 279.5, 13.9, 13.9, 279.8, 279.1, 13.9, 13.9,225.737, 245.566, 0.297, 1732.635, 279.0, 278.9, 13.8, 13.8, 279.3, 278.6, 13.8, 13.8,270,270,270,39,102.2,59.95
2017-10-18T06:25+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5268.141, 240.665, 257.395, 0.405, 1774.571, 280.8, 280.6, 14.1, 14.1, 281.1, 279.6, 14.1, 14.0,238.185, 259.699, 0.342, 1760.613, 280.7, 280.4, 14.0, 13.9, 281.0, 279.4, 14.0, 13.9,225.737, 245.566, 0.297, 1732.957, 280.1, 279.8, 13.8, 13.8, 280.3, 278.8, 13.9, 13.8,271,269,270,39,102.2,60.02
2017-10-18T06:30+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5269.119, 240.665, 257.395, 0.405, 1774.900, 281.2, 280.9, 14.1, 14.1, 281.2, 279.9, 14.1, 14.0,238.185, 259.699, 0.342, 1760.939, 280.9, 280.7, 14.0, 14.0, 281.0, 279.7, 14.0, 13.9,225.737, 245.566, 0.297, 1733.280, 280.4, 280.2, 13.9, 13.8, 280.4, 279.1, 13.9, 13.8,271,271,271,39,102.2,60.02
2017-10-18T06:35+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5270.099, 240.665, 257.395, 0.405, 1775.230, 281.0, 281.0, 14.1, 14.1, 281.3, 280.3, 14.1, 14.0,238.185, 259.699, 0.342, 1761.266, 280.8, 280.9, 14.0, 14.0, 281.1, 280.1, 14.0, 13.9,225.737, 245.566, 0.297, 1733.603, 280.1, 280.2, 13.8, 13.8, 280.5, 279.4, 13.9, 13.8,271,270,269,39,102.2,59.99
2017-10-18T06:40+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5271.077, 240.665, 257.395, 0.405, 1775.559, 281.3, 281.2, 14.1, 14.1, 281.5, 280.9, 14.1, 14.0,238.185, 259.699, 0.342, 1761.592, 281.2, 280.9, 14.0, 14.0, 281.2, 280.7, 14.0, 13.9,225.737, 245.566, 0.297, 1733.926, 280.5, 280.3, 13.8, 13.8, 280.6, 280.0, 13.9, 13.8,271,268,272,39,102.2,59.99
2017-10-18T06:45+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5272.056, 240.665, 257.395, 0.405, 1775.888, 280.3, 280.7, 14.1, 14.1, 281.6, 278.3, 14.1, 13.9,238.185, 259.699, 0.342, 1761.919, 280.1, 280.6, 13.9, 13.9, 281.5, 278.0, 14.0, 13.8,225.737, 245.566, 0.297, 1734.249, 279.5, 280.0, 13.8, 13.8, 280.9, 277.6, 13.9, 13.7,271,269,269,39,102.2,59.99
2017-10-18T06:50+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5273.033, 240.665, 257.395, 0.405, 1776.217, 280.6, 280.6, 14.1, 14.1, 280.9, 279.6, 14.1, 14.0,238.185, 259.699, 0.342, 1762.244, 280.5, 280.5, 13.9, 13.9, 280.8, 279.4, 14.0, 13.9,225.737, 245.566, 0.297, 1734.572, 279.8, 279.8, 13.8, 13.8, 280.2, 278.8, 13.9, 13.8,269,270,270,39,102.2,59.99
2017-10-18T06:55+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 704.587, 762.660, 1.044, 5274.010, 240.665, 257.395, 0.405, 1776.546, 280.4, 280.6, 14.0, 14.1, 280.8, 279.5, 14.1, 14.0,238.185, 259.699, 0.342, 1762.570, 280.3, 280.4, 13.9, 13.9, 280.7, 279.4, 14.0, 13.9,225.737, 245.566, 0.297, 1734.894, 279.5, 279.8, 13.8, 13.8, 280.1, 278.8, 13.9, 13.8,271,270,270,39,102.2,59.99
