Date,Energy (kWh),Accumulated (MWh)
"01-14-2015","28.063","0.028"
"01-15-2015","5.957","0.034"
"01-16-2015","0","0.034"
"01-17-2015","0","0.034"
"01-18-2015","0","0.034"
"01-19-2015","0","0.034"
"01-20-2015","0","0.034"
"01-21-2015","0","0.034"
"01-22-2015","0","0.034"
"01-23-2015","11.763","0.046"
"01-24-2015","0","0.046"
"01-25-2015","0","0.046"
"01-26-2015","0","0.046"
"01-27-2015","0","0.046"
"01-28-2015","0","0.046"
"01-29-2015","0","0.046"
"01-30-2015","10.27","0.056"
"01-31-2015","0","0.056"
"02-01-2015","0","0.056"
"02-02-2015","0","0.056"
"02-03-2015","5.731","0.062"
"02-04-2015","0","0.062"
"02-05-2015","8.535","0.07"
"02-06-2015","0","0.07"
"02-07-2015","0","0.07"
"02-08-2015","0","0.07"
"02-09-2015","4.678","0.075"
"02-10-2015","0","0.075"
"02-11-2015","3.956","0.079"
"02-12-2015","4.434","0.083"
"02-13-2015","0","0.083"
"02-14-2015","0","0.083"
"02-15-2015","0","0.083"
"02-16-2015","0","0.083"
"02-17-2015","17.5","0.101"
"02-18-2015","0","0.101"
"02-19-2015","6.826","0.108"
"02-20-2015","0","0.108"
"02-21-2015","0","0.108"
"02-22-2015","0","0.108"
"02-23-2015","6.886","0.115"
"02-24-2015","0","0.115"
"02-25-2015","0","0.115"
"02-26-2015","5.16","0.12"
"02-27-2015","0","0.12"
"02-28-2015","0","0.12"
"03-01-2015","0","0.12"
"03-02-2015","5.5","0.125"
"03-03-2015","0","0.125"
"03-04-2015","12.273","0.138"
"03-05-2015","8.828","0.146"
"03-06-2015","6.873","0.153"
"03-07-2015","0","0.153"
"03-08-2015","0","0.153"
"03-09-2015","0","0.153"
"03-10-2015","0","0.153"
"03-11-2015","0","0.153"
"03-12-2015","16.243","0.169"
"03-13-2015","6.251","0.176"
"03-14-2015","0","0.176"
"03-15-2015","0","0.176"
"03-16-2015","0","0.176"
"03-17-2015","12.094","0.188"
"03-18-2015","0","0.188"
"03-19-2015","0","0.188"
"03-20-2015","9.209","0.197"
"03-21-2015","0","0.197"
"03-22-2015","0","0.197"
"03-23-2015","2.347","0.199"
"03-24-2015","5.632","0.205"
"03-25-2015","0","0.205"
"03-26-2015","8.57","0.214"
"03-27-2015","3.321","0.217"
"03-28-2015","0","0.217"
"03-29-2015","0","0.217"
"03-30-2015","0","0.217"
"03-31-2015","0","0.217"
"04-01-2015","2.269","0.219"
"04-02-2015","0","0.219"
"04-03-2015","0","0.219"
"04-04-2015","0","0.219"
"04-05-2015","0","0.219"
"04-06-2015","0","0.219"
"04-07-2015","0","0.219"
"04-08-2015","0","0.219"
"04-09-2015","0","0.219"
"04-10-2015","9.004","0.228"
"04-11-2015","0","0.228"
"04-12-2015","0","0.228"
"04-13-2015","3.157","0.231"
"04-14-2015","25.48","0.257"
"04-15-2015","19.872","0.277"
"04-16-2015","10.997","0.288"
"04-17-2015","3.484","0.291"
"04-18-2015","0","0.291"
"04-19-2015","0","0.291"
"04-20-2015","0","0.291"
"04-21-2015","22.636","0.314"
"04-22-2015","4.132","0.318"
"04-23-2015","23.921","0.342"
"04-24-2015","23.227","0.365"
"04-25-2015","0","0.365"
"04-26-2015","0","0.365"
"04-27-2015","23.819","0.389"
"04-28-2015","17.102","0.406"
"04-29-2015","0","0.406"
"04-30-2015","3.224","0.409"
"05-01-2015","14.027","0.423"
"05-02-2015","0","0.423"
"05-03-2015","0","0.423"
"05-04-2015","1.175","0.424"
"05-05-2015","0","0.424"
"05-06-2015","3.915","0.428"
"05-07-2015","0","0.428"
"05-08-2015","0","0.428"
"05-09-2015","0","0.428"
"05-10-2015","0","0.428"
"05-11-2015","0","0.428"
"05-12-2015","4.186","0.433"
"05-13-2015","31.33","0.464"
"05-14-2015","24.707","0.489"
"05-15-2015","20.63","0.509"
"05-16-2015","0","0.509"
"05-17-2015","0","0.509"
"05-18-2015","0","0.509"
"05-19-2015","4.617","0.514"
"05-20-2015","0","0.514"
"05-21-2015","6.372","0.52"
"05-22-2015","22.05","0.542"
"05-23-2015","0","0.542"
"05-24-2015","0","0.542"
"05-25-2015","0","0.542"
"05-26-2015","0","0.542"
"05-27-2015","20.263","0.562"
"05-28-2015","0","0.562"
"05-29-2015","0","0.562"
"05-30-2015","0","0.562"
"05-31-2015","0","0.562"
"06-01-2015","0","0.562"
"06-02-2015","0","0.562"
"06-03-2015","0","0.562"
"06-04-2015","5.539","0.568"
"06-05-2015","0","0.568"
"06-06-2015","0","0.568"
"06-07-2015","0","0.568"
"06-08-2015","11.39","0.579"
"06-09-2015","5.809","0.585"
"06-10-2015","0","0.585"
"06-11-2015","5.739","0.591"
"06-12-2015","0","0.591"
"06-13-2015","0","0.591"
"06-14-2015","0","0.591"
"06-15-2015","0","0.591"
"06-16-2015","0","0.591"
"06-17-2015","10.397","0.601"
"06-18-2015","2.299","0.604"
"06-19-2015","20.03","0.624"
"06-20-2015","0","0.624"
"06-21-2015","0","0.624"
"06-22-2015","11.602","0.635"
"06-23-2015","5.171","0.64"
"06-24-2015","0","0.64"
"06-25-2015","46.23","0.687"
"06-26-2015","0","0.687"
"06-27-2015","0","0.687"
"06-28-2015","0","0.687"
"06-29-2015","9.919","0.697"
"06-30-2015","14.176","0.711"
"07-01-2015","0","0.711"
"07-02-2015","38.245","0.749"
"07-03-2015","0","0.749"
"07-04-2015","0","0.749"
"07-05-2015","0","0.749"
"07-06-2015","0.001","0.749"
"07-07-2015","0","0.749"
"07-08-2015","3.569","0.753"
"07-09-2015","0","0.753"
"07-10-2015","0","0.753"
"07-11-2015","0","0.753"
"07-12-2015","0","0.753"
"07-13-2015","29.252","0.782"
"07-14-2015","12.177","0.794"
"07-15-2015","2.95","0.797"
"07-16-2015","27.942","0.825"
"07-17-2015","0","0.825"
"07-18-2015","0","0.825"
"07-19-2015","0","0.825"
"07-20-2015","39.91","0.865"
"07-21-2015","6.13","0.871"
"07-22-2015","40.396","0.911"
"07-23-2015","1.321","0.913"
"07-24-2015","29.116","0.942"
"07-25-2015","0","0.942"
"07-26-2015","0","0.942"
"07-27-2015","3.116","0.945"
"07-28-2015","1.081","0.946"
"07-29-2015","34.584","0.981"
"07-30-2015","13.14","0.994"
"07-31-2015","45.557","1.039"
"08-01-2015","0","1.039"
"08-02-2015","0","1.039"
"08-03-2015","20.68","1.06"
"08-04-2015","2.976","1.063"
"08-05-2015","22.859","1.086"
"08-06-2015","6.246","1.092"
"08-07-2015","24.437","1.116"
"08-08-2015","0","1.116"
"08-09-2015","0","1.116"
"08-10-2015","16.081","1.133"
"08-11-2015","18.248","1.151"
"08-12-2015","37.339","1.188"
"08-13-2015","3.238","1.191"
"08-14-2015","0","1.191"
"08-15-2015","0","1.191"
"08-16-2015","0","1.191"
"08-17-2015","36.169","1.228"
"08-18-2015","32.564","1.26"
"08-19-2015","46.213","1.306"
"08-20-2015","26.795","1.333"
"08-21-2015","29.695","1.363"
"08-22-2015","1.487","1.364"
"08-23-2015","0","1.364"
"08-24-2015","32.097","1.396"
"08-25-2015","11.532","1.408"
"08-26-2015","25.209","1.433"
"08-27-2015","4.17","1.437"
"08-28-2015","31.045","1.468"
"08-29-2015","3.37","1.472"
"08-30-2015","0","1.472"
"08-31-2015","44.614","1.516"
"09-01-2015","16.539","1.533"
"09-02-2015","61.017","1.594"
"09-03-2015","18.76","1.613"
"09-04-2015","36.518","1.649"
"09-05-2015","0","1.649"
"09-06-2015","0","1.649"
"09-07-2015","3.827","1.653"
"09-08-2015","20.759","1.674"
"09-09-2015","45.714","1.719"
"09-10-2015","17.101","1.737"
"09-11-2015","29.387","1.766"
"09-12-2015","0","1.766"
"09-13-2015","0","1.766"
"09-14-2015","19.744","1.786"
"09-15-2015","27.435","1.813"
"09-16-2015","51.009","1.864"
"09-17-2015","25.33","1.889"
"09-18-2015","41.859","1.931"
"09-19-2015","5.778","1.937"
"09-20-2015","0","1.937"
"09-21-2015","37.496","1.975"
"09-22-2015","32.548","2.007"
"09-23-2015","77.273","2.084"
"09-24-2015","55.892","2.14"
"09-25-2015","40.479","2.181"
"09-26-2015","3.214","2.184"
"09-27-2015","8.759","2.193"
"09-28-2015","59.838","2.253"
"09-29-2015","69.303","2.322"
"09-30-2015","28.26","2.35"
"10-01-2015","53.29","2.403"
