Date,Stations,Accumulated
"03-09-2016","1","1"
"03-10-2016","0","1"
"03-11-2016","0","1"
"03-12-2016","0","1"
"03-13-2016","0","1"
"03-14-2016","0","1"
"03-15-2016","0","1"
"03-16-2016","0","1"
"03-17-2016","0","1"
"03-18-2016","0","1"
"03-19-2016","0","1"
"03-20-2016","0","1"
"03-21-2016","0","1"
"03-22-2016","0","1"
"03-23-2016","0","1"
"03-24-2016","0","1"
"03-25-2016","0","1"
"03-26-2016","0","1"
"03-27-2016","0","1"
"03-28-2016","0","1"
"03-29-2016","0","1"
"03-30-2016","0","1"
"03-31-2016","0","1"
"04-01-2016","0","1"
"04-02-2016","0","1"
"04-03-2016","0","1"
"04-04-2016","0","1"
"04-05-2016","0","1"
"04-06-2016","0","1"
"04-07-2016","0","1"
"04-08-2016","0","1"
"04-09-2016","0","1"
"04-10-2016","0","1"
"04-11-2016","0","1"
"04-12-2016","0","1"
"04-13-2016","0","1"
"04-14-2016","0","1"
"04-15-2016","0","1"
"04-16-2016","0","1"
"04-17-2016","0","1"
"04-18-2016","0","1"
"04-19-2016","0","1"
"04-20-2016","0","1"
"04-21-2016","1","2"
"04-22-2016","0","2"
"04-23-2016","0","2"
"04-24-2016","0","2"
"04-25-2016","0","2"
"04-26-2016","0","2"
"04-27-2016","0","2"
"04-28-2016","0","2"
"04-29-2016","0","2"
"04-30-2016","0","2"
"05-01-2016","0","2"
"05-02-2016","0","2"
"05-03-2016","0","2"
"05-04-2016","0","2"
"05-05-2016","0","2"
"05-06-2016","0","2"
"05-07-2016","0","2"
"05-08-2016","0","2"
"05-09-2016","0","2"
"05-10-2016","0","2"
"05-11-2016","0","2"
"05-12-2016","0","2"
"05-13-2016","0","2"
"05-14-2016","0","2"
"05-15-2016","0","2"
"05-16-2016","0","2"
"05-17-2016","0","2"
"05-18-2016","0","2"
"05-19-2016","0","2"
"05-20-2016","0","2"
"05-21-2016","0","2"
"05-22-2016","0","2"
"05-23-2016","0","2"
"05-24-2016","0","2"
"05-25-2016","0","2"
"05-26-2016","0","2"
"05-27-2016","0","2"
"05-28-2016","0","2"
"05-29-2016","0","2"
"05-30-2016","0","2"
"05-31-2016","0","2"
"06-01-2016","0","2"
"06-02-2016","0","2"
"06-03-2016","0","2"
"06-04-2016","0","2"
"06-05-2016","0","2"
"06-06-2016","0","2"
"06-07-2016","0","2"
"06-08-2016","0","2"
"06-09-2016","0","2"
"06-10-2016","0","2"
"06-11-2016","0","2"
"06-12-2016","0","2"
"06-13-2016","0","2"
"06-14-2016","0","2"
"06-15-2016","0","2"
"06-16-2016","0","2"
"06-17-2016","0","2"
"06-18-2016","0","2"
"06-19-2016","0","2"
"06-20-2016","0","2"
"06-21-2016","0","2"
"06-22-2016","0","2"
"06-23-2016","0","2"
"06-24-2016","0","2"
"06-25-2016","0","2"
"06-26-2016","0","2"
"06-27-2016","0","2"
"06-28-2016","0","2"
"06-29-2016","0","2"
"06-30-2016","0","2"
"07-01-2016","0","2"
"07-02-2016","0","2"
"07-03-2016","0","2"
"07-04-2016","0","2"
"07-05-2016","0","2"
"07-06-2016","0","2"
"07-07-2016","0","2"
"07-08-2016","0","2"
"07-09-2016","0","2"
"07-10-2016","0","2"
"07-11-2016","0","2"
"07-12-2016","0","2"
"07-13-2016","0","2"
"07-14-2016","0","2"
"07-15-2016","0","2"
"07-16-2016","0","2"
"07-17-2016","0","2"
"07-18-2016","0","2"
"07-19-2016","0","2"
"07-20-2016","0","2"
"07-21-2016","0","2"
"07-22-2016","0","2"
"07-23-2016","0","2"
"07-24-2016","0","2"
"07-25-2016","0","2"
"07-26-2016","0","2"
"07-27-2016","0","2"
"07-28-2016","0","2"
"07-29-2016","0","2"
"07-30-2016","0","2"
"07-31-2016","0","2"
"08-01-2016","0","2"
"08-02-2016","0","2"
"08-03-2016","0","2"
"08-04-2016","0","2"
"08-05-2016","0","2"
"08-06-2016","0","2"
"08-07-2016","0","2"
"08-08-2016","0","2"
"08-09-2016","0","2"
"08-10-2016","0","2"
"08-11-2016","0","2"
"08-12-2016","0","2"
"08-13-2016","0","2"
"08-14-2016","0","2"
"08-15-2016","0","2"
"08-16-2016","0","2"
"08-17-2016","0","2"
"08-18-2016","0","2"
"08-19-2016","0","2"
"08-20-2016","0","2"
"08-21-2016","0","2"
"08-22-2016","0","2"
"08-23-2016","0","2"
"08-24-2016","0","2"
"08-25-2016","0","2"
"08-26-2016","0","2"
"08-27-2016","0","2"
"08-28-2016","0","2"
"08-29-2016","0","2"
"08-30-2016","0","2"
"08-31-2016","0","2"
"09-01-2016","0","2"
"09-02-2016","0","2"
"09-03-2016","0","2"
"09-04-2016","0","2"
"09-05-2016","0","2"
"09-06-2016","0","2"
"09-07-2016","0","2"
"09-08-2016","0","2"
"09-09-2016","0","2"
"09-10-2016","0","2"
"09-11-2016","0","2"
"09-12-2016","0","2"
"09-13-2016","0","2"
"09-14-2016","0","2"
"09-15-2016","0","2"
"09-16-2016","0","2"
"09-17-2016","0","2"
"09-18-2016","0","2"
"09-19-2016","0","2"
"09-20-2016","0","2"
"09-21-2016","0","2"
"09-22-2016","0","2"
"09-23-2016","0","2"
"09-24-2016","0","2"
"09-25-2016","0","2"
"09-26-2016","0","2"
"09-27-2016","0","2"
"09-28-2016","0","2"
"09-29-2016","0","2"
"09-30-2016","0","2"
"10-01-2016","0","2"
"10-02-2016","0","2"
"10-03-2016","0","2"
"10-04-2016","0","2"
"10-05-2016","0","2"
"10-06-2016","0","2"
"10-07-2016","0","2"
"10-08-2016","0","2"
"10-09-2016","0","2"
"10-10-2016","0","2"
"10-11-2016","0","2"
"10-12-2016","0","2"
"10-13-2016","0","2"
"10-14-2016","0","2"
"10-15-2016","0","2"
"10-16-2016","0","2"
"10-17-2016","0","2"
"10-18-2016","0","2"
"10-19-2016","0","2"
"10-20-2016","0","2"
"10-21-2016","0","2"
"10-22-2016","0","2"
"10-23-2016","0","2"
"10-24-2016","0","2"
"10-25-2016","0","2"
"10-26-2016","0","2"
"10-27-2016","0","2"
"10-28-2016","0","2"
"10-29-2016","0","2"
"10-30-2016","0","2"
"10-31-2016","0","2"
"11-01-2016","0","2"
"11-02-2016","0","2"
"11-03-2016","0","2"
"11-04-2016","0","2"
"11-05-2016","0","2"
"11-06-2016","0","2"
"11-07-2016","0","2"
"11-08-2016","0","2"
"11-09-2016","0","2"
"11-10-2016","0","2"
"11-11-2016","0","2"
"11-12-2016","0","2"
"11-13-2016","0","2"
"11-14-2016","0","2"
"11-15-2016","0","2"
"11-16-2016","0","2"
"11-17-2016","0","2"
"11-18-2016","0","2"
"11-19-2016","0","2"
"11-20-2016","0","2"
"11-21-2016","0","2"
"11-22-2016","0","2"
"11-23-2016","0","2"
"11-24-2016","0","2"
"11-25-2016","0","2"
"11-26-2016","0","2"
"11-27-2016","0","2"
"11-28-2016","0","2"
"11-29-2016","0","2"
"11-30-2016","0","2"
"12-01-2016","0","2"
"12-02-2016","0","2"
"12-03-2016","0","2"
"12-04-2016","0","2"
"12-05-2016","0","2"
"12-06-2016","0","2"
"12-07-2016","0","2"
"12-08-2016","0","2"
"12-09-2016","0","2"
"12-10-2016","0","2"
"12-11-2016","0","2"
"12-12-2016","0","2"
"12-13-2016","0","2"
"12-14-2016","0","2"
"12-15-2016","0","2"
"12-16-2016","0","2"
"12-17-2016","0","2"
"12-18-2016","0","2"
"12-19-2016","0","2"
"12-20-2016","0","2"
"12-21-2016","0","2"
"12-22-2016","0","2"
"12-23-2016","0","2"
"12-24-2016","0","2"
"12-25-2016","0","2"
"12-26-2016","0","2"
"12-27-2016","0","2"
"12-28-2016","0","2"
"12-29-2016","0","2"
"12-30-2016","0","2"
"12-31-2016","0","2"
"01-01-2017","0","2"
"01-02-2017","0","2"
"01-03-2017","0","2"
"01-04-2017","0","2"
"01-05-2017","0","2"
"01-06-2017","0","2"
"01-07-2017","0","2"
"01-08-2017","0","2"
"01-09-2017","0","2"
"01-10-2017","0","2"
"01-11-2017","0","2"
"01-12-2017","0","2"
"01-13-2017","0","2"
"01-14-2017","0","2"
"01-15-2017","0","2"
"01-16-2017","0","2"
"01-17-2017","0","2"
"01-18-2017","0","2"
"01-19-2017","0","2"
"01-20-2017","5","7"
"01-21-2017","0","7"
"01-22-2017","0","7"
"01-23-2017","0","7"
"01-24-2017","0","7"
"01-25-2017","0","7"
"01-26-2017","0","7"
"01-27-2017","5","12"
"01-28-2017","0","12"
"01-29-2017","0","12"
"01-30-2017","2","14"
"01-31-2017","0","14"
"02-01-2017","0","14"
"02-02-2017","0","14"
"02-03-2017","0","14"
"02-04-2017","0","14"
"02-05-2017","2","16"
"02-06-2017","0","16"
"02-07-2017","0","16"
"02-08-2017","0","16"
"02-09-2017","0","16"
"02-10-2017","0","16"
"02-11-2017","0","16"
"02-12-2017","0","16"
"02-13-2017","0","16"
"02-14-2017","0","16"
"02-15-2017","0","16"
"02-16-2017","0","16"
"02-17-2017","0","16"
"02-18-2017","0","16"
"02-19-2017","0","16"
"02-20-2017","0","16"
"02-21-2017","0","16"
"02-22-2017","0","16"
"02-23-2017","0","16"
"02-24-2017","0","16"
"02-25-2017","0","16"
"02-26-2017","0","16"
"02-27-2017","0","16"
"02-28-2017","1","17"
"03-01-2017","0","17"
"03-02-2017","0","17"
"03-03-2017","0","17"
"03-04-2017","0","17"
"03-05-2017","0","17"
"03-06-2017","0","17"
"03-07-2017","0","17"
"03-08-2017","0","17"
"03-09-2017","0","17"
"03-10-2017","0","17"
"03-11-2017","0","17"
"03-12-2017","0","17"
"03-13-2017","0","17"
"03-14-2017","0","17"
"03-15-2017","0","17"
"03-16-2017","0","17"
"03-17-2017","0","17"
"03-18-2017","0","17"
"03-19-2017","0","17"
"03-20-2017","0","17"
"03-21-2017","0","17"
"03-22-2017","0","17"
"03-23-2017","0","17"
"03-24-2017","0","17"
"03-25-2017","0","17"
"03-26-2017","0","17"
"03-27-2017","0","17"
"03-28-2017","0","17"
"03-29-2017","0","17"
"03-30-2017","0","17"
"03-31-2017","0","17"
"04-01-2017","0","17"
"04-02-2017","0","17"
"04-03-2017","0","17"
