,City,2019 Population,Lat,Lng
0,"Salt Lake City, UT","200,662",40.7607793,-111.8910474
1,"West Valley City, UT","138,359",40.6916132,-112.0010501
2,"Provo, UT","122,103",40.2338438,-111.6585337
3,"West Jordan, UT","119,510",40.6096698,-111.9391031
4,"Orem, UT","106,997",40.2968979,-111.6946475
5,"Sandy, UT","101,323",40.5649781,-111.8389726
6,"Ogden, UT","90,844",41.223,-111.9738304
7,"St. George, UT","88,885",37.0965278,-113.5684164
8,"Layton, UT","80,368",41.0602216,-111.9710529
9,"South Jordan, UT","76,597",40.5621704,-111.929658
10,"Lehi, UT","69,236",40.3916172,-111.8507662
11,"Taylorsville, UT","60,490",40.6677248,-111.9388258
12,"Logan, UT","53,445",41.7369803,-111.8338359
13,"Murray, UT","49,425",40.6668916,-111.8879909
14,"Herriman, UT","49,029",40.5141147,-112.0329938
15,"Draper , UT","48,276",40.5246711,-111.8638226
16,"Riverton, UT","45,862",40.521893,-111.9391023
17,"Bountiful, UT","45,068",40.8893895,-111.880771
18,"Spanish Fork, UT","41,330",40.114955,-111.654923
19,"Pleasant Grove, UT","41,012",40.3641184,-111.73854
20,"Roy, UT","38,957",41.1616108,-112.0263313
21,"Tooele, UT","35,682",40.5307776,-112.29828
22,"Springville, UT","35,165",40.1652335,-111.6107526
23,"Eagle Mountain, UT","34,911",40.3141169,-112.006882
24,"Midvale, UT","34,496",40.6110589,-111.8999353
25,"Cedar City, UT","34,490",37.6774769,-113.0618931
26,"Cottonwood Heights, UT","34,273",40.6183158,-111.8162931
27,"Kaysville, UT","33,649",41.0352216,-111.9385521
28,"Syracuse, UT","31,515",41.0893878,-112.0646657
29,"Saratoga Springs, UT","31,444",40.3301898,-111.9044877
30,"Clearfield, UT","31,443",41.1107771,-112.0260538
31,"Holladay, UT","30,885",40.6688363,-111.8246557
32,"American Fork, UT","30,156",40.3768954,-111.7957645
33,"Washington, UT","28,552",37.1305373,-113.5082867
34,"Farmington, UT","24,943",40.9804999,-111.8874392
35,"South Salt Lake, UT","24,492",40.7188354,-111.8882691
36,"Clinton, UT","22,530",41.139666,-112.0504983
37,"North Salt Lake, UT","21,912",40.8485564,-111.9068824
38,"Highland, UT","20,678",40.4248665,-111.7979285
39,"Payson, UT","20,593",40.0443989,-111.7321518
40,"North Ogden, UT","19,763",41.3071645,-111.9602196
41,"Brigham City, UT","19,749",41.5102129,-112.0155015
42,"Centerville, UT","18,555",40.9180005,-111.8721601
43,"Hurricane, UT","18,193",37.1752607,-113.2899484
44,"South Ogden, UT","17,532",41.1918886,-111.9713304
45,"Heber, UT","17,009",40.5070087,-111.4133234
46,"Bluffdale , UT","14,530",40.4896711,-111.9388244
47,"West Haven, UT","13,577",41.2029998,-112.0510533
48,"Santaquin , UT","12,547",39.9755101,-111.7852106
49,"Smithfield, UT","12,271",41.8382622,-111.8327229
50,"North Logan, UT","11,844",41.7693747,-111.8046654
51,"Grantsville, UT","11,800",40.5999425,-112.4643988
52,"Woods Cross, UT","11,582",40.8716119,-111.89216
53,"Lindon, UT","11,356",40.3432857,-111.7207608
54,"West Point, UT","11,175",41.1182767,-112.08411
55,"Pleasant View, UT","11,108",41.3182755,-111.9921649
56,"Alpine, UT","10,769",40.4532833,-111.7779865
57,"Cedar Hills, UT","10,728",40.4141174,-111.7585414
58,"Mapleton, UT","10,388",40.1302338,-111.5785281
59,"Vernal, UT","9,382",40.4555157,-109.5287479
60,"Washington Terrace, UT","9,333",41.172722,-111.9766083
61,"Hooper, UT","9,243",41.1638323,-112.1224431
62,"Tremonton, UT","9,068",41.7118728,-112.1655079
63,"Salem, UT","8,932",40.0530105,-111.673536
64,"Ivins, UT","8,918",37.1685907,-113.6794057
65,"Riverdale, UT","8,851",41.1768888,-112.0038311
66,"Park City , UT","8,758",40.6460622,-111.4979729
67,"Price, UT","8,395",39.5994095,-110.8107148
68,"Hyrum, UT","8,312",41.6340996,-111.8521653
69,"Richfield, UT","8,239",38.7724673,-112.0840943
70,"South Weber, UT","7,916",41.1324438,-111.9302184
71,"Santa Clara, UT","7,749",37.1330355,-113.6541266
72,"Ephraim, UT","7,705",39.3596841,-111.5863052
73,"Nibley, UT","7,656",41.6743765,-111.8329984
74,"Providence, UT","7,540",41.7063204,-111.817165
75,"Enoch, UT","7,477",37.7733096,-113.0243929
76,"Farr West, UT","7,187",41.2971651,-112.0277203
77,"Plain City, UT","7,084",41.2979981,-112.0860538
78,"Harrisville, UT","6,889",41.2813323,-111.9882754
79,"Roosevelt, UT","6,692",40.299403,-109.9887605
80,"Nephi, UT","6,549",39.7102336,-111.8363216
81,"Fruit Heights, UT","6,440",41.0321662,-111.9021622
82,"Vineyard, UT","6,260",40.3056601,-111.7495419
83,"West Bountiful, UT","5,772",40.8938339,-111.9018828
84,"Midway, UT","5,582",40.5121772,-111.4743545
85,"Sunset, UT","5,342",41.1441309,-112.029752
86,"Perry, UT","5,305",41.4649365,-112.0324456
87,"Moab, UT","5,299",38.5733155,-109.5498395
88,"Hyde Park, UT","4,972",41.7988186,-111.8191107
89,"Kanab, UT","4,964",37.0474855,-112.5263145
90,"Blanding, UT","4,816",37.6241646,-109.478177
91,"Morgan, UT","4,436",41.036056,-111.6768769
92,"La Verkin, UT","4,414",37.2051385,-113.2721584
93,"Elk Ridge, UT","4,180",40.0113439,-111.6768698
94,"Wellsville, UT","3,804",41.6385432,-111.9338342
95,"Manti, UT","3,600",39.2682951,-111.6368627
96,"Delta, UT","3,584",39.3521777,-112.57717
97,"Mount Pleasant, UT","3,552",39.5469073,-111.4554659
98,"Gunnison, UT","3,409",39.1552391,-111.8182582
99,"Beaver, UT","3,189",38.2769149,-112.6410518
100,"Parowan, UT","3,172",37.8421975,-112.8279996
101,"Hildale, UT","3,005",37.0035953,-112.9668812
102,"Richmond, UT","2,687",41.9227056,-111.8135571
103,"Monticello, UT","2,678",37.8713829,-109.3428948
104,"Garland, UT","2,639",41.7410387,-112.1616194
105,"Salina, UT","2,635",38.9577407,-111.859925
106,"Fillmore, UT","2,494",38.9638553,-112.3397377
107,"Monroe, UT","2,402",38.6299724,-112.1207573
108,"Kamas, UT","2,265",40.643007,-111.2807384
109,"Helper, UT","2,077",39.6841304,-110.8546053
110,"Millville, UT","2,061",41.6815987,-111.8229982
111,"River Heights, UT","2,034",41.7215978,-111.821332
112,"Lewiston, UT","1,926",41.9757598,-111.8563372
113,"Enterprise, UT","1,898",37.5735867,-113.7191329
114,"Huntington, UT","1,897",39.3266354,-110.9646113
115,"Willard, UT","1,896",41.4091053,-112.0360557
116,"Naples, UT","1,896",40.4269052,-109.4993022
117,"Mona, UT","1,851",39.8160656,-111.8554907
118,"Marriott-Slaterville, UT","1,775",41.2516113,-112.0254973
119,"Oakley, UT","1,714",40.7146722,-111.300744
120,"Toquerville, UT","1,712",37.2533157,-113.2846707
121,"Woodland Hills, UT","1,665",40.0178873,-111.6481861
122,"Panguitch, UT","1,659",37.8227551,-112.4357638
123,"Honeyville, UT","1,651",41.638542,-112.0793935
124,"Genola, UT","1,622",39.9963426,-111.8432692
125,"Francis, UT","1,605",40.6105076,-111.2807363
126,"Duchesne, UT","1,605",40.1632913,-110.4029329
127,"Wellington, UT","1,597",39.5424659,-110.7354343
128,"Moroni, UT","1,572",39.5249615,-111.5904725
129,"East Carbon-Sunnyside, UT","1,539",39.5513553,-110.3879326
130,"Coalville, UT","1,526",40.9177251,-111.3993634
131,"Mendon, UT","1,500",41.7099297,-111.977725
132,"Centerfield, UT","1,500",39.1252392,-111.8190914
133,"Castle Dale, UT","1,468",39.212192,-111.019613
134,"Ferron, UT","1,459",39.0935829,-111.1332247
135,"Milford, UT","1,438",38.3969108,-113.0107892
136,"Wendover, UT","1,431",40.7371524,-114.0375102
137,"Fairview, UT","1,366",39.626351,-111.4396325
138,"Uintah, UT","1,351",41.1441104,-111.9232738
139,"Orangeville, UT","1,333",39.227191,-111.0535024
140,"Fountain Green, UT","1,173",39.6299598,-111.635199
141,"Elwood, UT","1,104",41.6904847,-112.1410625
142,"Spring City, UT","1,086",39.482463,-111.4960236
143,"Aurora, UT","1,082",38.9221856,-111.9340936
144,"Daniel, UT","1,082",40.4707885,-111.4146275
145,"Hideout, UT","1,004",40.6416751,-111.3977787
146,"Paradise, UT",986,41.5688234,-111.8379975
147,"Levan, UT",976,39.5585686,-111.8618734
148,"Ballard, UT",972,40.2894035,-109.9432035
149,"Goshen, UT",964,39.9530088,-111.9007716
150,"Mantua, UT",951,41.4957692,-111.9438329
151,"Minersville, UT",947,38.2141363,-112.9235621
152,"Bear River City, UT",926,41.6146534,-112.1266165
153,"Rocky Ridge, UT",899,39.9249543,-111.8271568
154,"Elsinore, UT",893,38.6827482,-112.14826
155,"Henefer, UT",892,41.0166127,-111.4982578
156,"Green River, UT",892,38.9955607,-110.1596352
157,"Leeds, UT",885,37.2385931,-113.3591167
158,"Newton, UT",845,41.8627046,-111.9907837
159,"Annabella, UT",836,38.7091363,-112.0599249
160,"Apple Valley, UT",805,37.1044155,-113.1251775
161,"Escalante, UT",784,37.7702663,-111.602119
162,"Clarkston, UT",765,41.9202033,-112.0499536
163,"Redmond, UT",749,39.0060727,-111.8618705
164,"Corinne, UT",733,41.5510441,-112.1102262
165,"Eureka, UT",727,39.9541166,-112.1202235
166,"Hinckley, UT",704,39.3249554,-112.6710613
167,"Oak City, UT",668,39.3749562,-112.3354978
168,"Stockton, UT",665,40.452722,-112.3607824
169,"Huntsville, UT",638,41.2607744,-111.7699379
170,"Garden City, UT",620,41.946878,-111.3935397
171,"Virgin, UT",620,37.208316,-113.1882792
172,"Springdale, UT",612,37.1888713,-112.9985515
173,"Orderville, UT",612,37.2758168,-112.6377101
174,"Central Valley, UT",579,38.7038587,-112.0988148
175,"Myton, UT",579,40.1944043,-110.0618168
176,"Loa, UT",567,38.4027571,-111.642962
177,"Mayfield, UT",561,39.1141292,-111.7107536
178,"Paragonah, UT",556,37.8858079,-112.7752206
179,"Amalga, UT",534,41.861039,-111.8957808
180,"Trenton, UT",530,41.9177042,-111.94245
181,"Big Water, UT",519,37.0824856,-111.6643335
182,"Tropic, UT",503,37.6252615,-112.0821359
183,"Glenwood, UT",491,38.7633008,-111.9902025
184,"Rush Valley, UT",491,40.3629996,-112.4505084
185,"Plymouth, UT",488,41.8754813,-112.1441223
186,"Fielding, UT",483,41.8146489,-112.1160644
187,"Charleston, UT",483,40.4663446,-111.4699092
188,"Randolph, UT",475,41.6657759,-111.1821409
189,"Kanosh, UT",460,38.8013558,-112.4374387
190,"Sigurd, UT",456,38.840521,-111.9677038
191,"Circleville, UT",450,38.1716447,-112.2704819
192,"Cleveland, UT",424,39.3488582,-110.8515521
193,"Kanarraville, UT",408,37.5388676,-113.1841166
194,"Cedar Fort, UT",407,40.3271707,-112.1043852
195,"Marysvale, UT",403,38.4494204,-112.2302024
196,"Glendale, UT",394,37.3177609,-112.5971542
197,"Elmo, UT",387,39.389691,-110.8151613
198,"Alta, UT",387,40.5888394,-111.6379793
199,"Wallsburg, UT",385,40.3877339,-111.4224058
