,EVSE ID,User Id,Plug In Event Id,Firmware Ver.,Plug Connect Time,Plug Connect Time Zone,Plug Disconnect Time,Plug Disconnect Time Zone,Power Start Time,Power Start Time Zone,Power End Time,Power End Time Zone,Peak Power (AC kW),Rolling Avg. Power (AC kW),Energy Consumed (AC kWh),Port,Station Name,MAC Address,Org Name,Start Time,Start Time Zone,End Time,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings,Port Type,Address 1,Address 2,City,State/Province,Postal Code,Country,Latitude,Longitude,Currency,Fee,Ended By,Driver Postal Code
0,212301,1301971.0,321533271,4.3.5.60,10/31/2018 14:36,MDT,,,10/31/2018 14:36,MDT,,,,,,1,PACKSIZE / CLEAN AIR 2,0024:B100:0002:7F83,Leaders For Clean Air,10/31/2018 14:36,MDT,10/31/2018 17:02,MDT,2:25:22,2:07:51,3.8794989999999996,0.0,0.48700000000000004,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74235153,-111.9812622,USD,,Plug Out at Vehicle,84111.0
1,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 14:36,MDT,10/31/2018 14:44,MDT,3.647,3.536,0.4911,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 14:45,MDT,10/31/2018 14:59,MDT,3.6430000000000002,3.6439999999999997,0.91096,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 15:00,MDT,10/31/2018 15:14,MDT,3.642,3.5060000000000002,0.876474,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 15:15,MDT,10/31/2018 15:29,MDT,3.207,2.061,0.515323,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 15:30,MDT,10/31/2018 15:44,MDT,2.158,1.304,0.325871,1,,,,,,,,,,,,,,,,,,,,,,,,,
6,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 15:45,MDT,10/31/2018 15:59,MDT,1.901,1.3330000000000002,0.333341,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 16:00,MDT,10/31/2018 16:14,MDT,1.857,1.07,0.267403,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 16:15,MDT,10/31/2018 16:29,MDT,1.34,0.392,0.098089,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 16:30,MDT,10/31/2018 16:44,MDT,1.334,0.244,0.060938,1,,,,,,,,,,,,,,,,,,,,,,,,,
10,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 16:45,MDT,10/31/2018 16:59,MDT,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
11,212301,1301971.0,321533271,4.3.5.60,,,,,10/31/2018 17:00,MDT,10/31/2018 17:02,MDT,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
12,212301,1301971.0,321533271,4.3.5.60,,,10/31/2018 17:02,MDT,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
123,210213,1301971.0,321208941,4.3.5.60,10/31/2018 8:37,MDT,,,10/31/2018 8:37,MDT,,,,,,2,PACKSIZE / CLEAN AIR 11,0024:B100:0002:7D84,Leaders For Clean Air,10/31/2018 8:37,MDT,10/31/2018 10:04,MDT,1:26:57,1:26:37,4.625102,0.0,0.58,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74241257,-111.98162079999999,USD,,Plug Out at Vehicle,84111.0
124,210213,1301971.0,321208941,4.3.5.60,,,,,10/31/2018 8:37,MDT,10/31/2018 8:44,MDT,3.217,3.0189999999999997,0.40171100000000004,2,,,,,,,,,,,,,,,,,,,,,,,,,
125,210213,1301971.0,321208941,4.3.5.60,,,,,10/31/2018 8:45,MDT,10/31/2018 8:59,MDT,3.22,3.2119999999999997,0.802887,2,,,,,,,,,,,,,,,,,,,,,,,,,
126,210213,1301971.0,321208941,4.3.5.60,,,,,10/31/2018 9:00,MDT,10/31/2018 9:14,MDT,3.213,3.2030000000000003,0.800732,2,,,,,,,,,,,,,,,,,,,,,,,,,
127,210213,1301971.0,321208941,4.3.5.60,,,,,10/31/2018 9:15,MDT,10/31/2018 9:29,MDT,3.221,3.2119999999999997,0.8031119999999999,2,,,,,,,,,,,,,,,,,,,,,,,,,
128,210213,1301971.0,321208941,4.3.5.60,,,,,10/31/2018 9:30,MDT,10/31/2018 9:44,MDT,3.2510000000000003,3.233,0.808148,2,,,,,,,,,,,,,,,,,,,,,,,,,
129,210213,1301971.0,321208941,4.3.5.60,,,,,10/31/2018 9:45,MDT,10/31/2018 9:59,MDT,3.255,3.245,0.811336,2,,,,,,,,,,,,,,,,,,,,,,,,,
130,210213,1301971.0,321208941,4.3.5.60,,,,,10/31/2018 10:00,MDT,10/31/2018 10:04,MDT,3.24,2.945,0.197176,2,,,,,,,,,,,,,,,,,,,,,,,,,
131,210213,1301971.0,321208941,4.3.5.60,,,10/31/2018 10:04,MDT,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
699,212301,1301971.0,320465351,4.3.5.60,10/30/2018 8:19,MDT,,,10/30/2018 8:19,MDT,,,,,,1,PACKSIZE / CLEAN AIR 2,0024:B100:0002:7F83,Leaders For Clean Air,10/30/2018 8:19,MDT,10/30/2018 17:17,MDT,8:58:09,2:20:44,4.317651000000001,0.0,0.542,Level 2,3784 Commons Ln,,Salt Lake City,Utah,84104.0,United States,40.74235153,-111.9812622,USD,,Plug Out at Vehicle,84111.0
700,212301,1301971.0,320465351,4.3.5.60,,,,,10/30/2018 8:19,MDT,10/30/2018 8:29,MDT,3.653,3.557,0.628436,1,,,,,,,,,,,,,,,,,,,,,,,,,
701,212301,1301971.0,320465351,4.3.5.60,,,,,10/30/2018 8:30,MDT,10/30/2018 8:44,MDT,3.648,3.6439999999999997,0.911068,1,,,,,,,,,,,,,,,,,,,,,,,,,
702,212301,1301971.0,320465351,4.3.5.60,,,,,10/30/2018 8:45,MDT,10/30/2018 8:59,MDT,3.648,3.6489999999999996,0.912177,1,,,,,,,,,,,,,,,,,,,,,,,,,
703,212301,1301971.0,320465351,4.3.5.60,,,,,10/30/2018 9:00,MDT,10/30/2018 9:14,MDT,3.6439999999999997,2.543,0.63583,1,,,,,,,,,,,,,,,,,,,,,,,,,
704,212301,1301971.0,320465351,4.3.5.60,,,,,10/30/2018 9:15,MDT,10/30/2018 9:29,MDT,1.913,1.3230000000000002,0.330756,1,,,,,,,,,,,,,,,,,,,,,,,,,
