TIME,XFID,NAME,SERIALNUMBER,KWH,KVAH,KWH-REV,KVAH-REV,KWHA,KVAHA,KWHA-REV,KVAHA-REV,VRMSA,VAVGA,IRMSA,IAVGA,VMAXA,VMINA,IMAXA,IMINA,KWHB,KVAHB,KWHB-REV,KVAHB-REV,VRMSB,VAVGB,IRMSB,IAVGB,VMAXB,VMINB,IMAXB,IMINB,KWHC,KVAHC,KWHC-REV,KVAHC-REV,VRMSC,VAVGC,IRMSC,IAVGC,VMAXC,VMINC,IMAXC,IMINC,ANGLEA,ANGLEB,ANGLEC,TEMPC,TEMPF,LINE-FREQ
2017-10-17T06:15+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 647.770, 702.697, 1.044, 5018.815, 221.154, 236.953, 0.405, 1690.727, 280.1, 279.9, 14.0, 14.0, 280.1, 278.9, 14.1, 14.0,219.203, 239.503, 0.342, 1677.413, 280.0, 279.7, 13.9, 13.9, 280.0, 278.8, 14.0, 13.9,207.413, 226.241, 0.297, 1650.675, 279.5, 279.3, 13.8, 13.8, 279.5, 278.3, 13.8, 13.8,270,271,271,39,102.2,59.95
2017-10-17T06:20+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 647.770, 702.697, 1.044, 5019.372, 221.154, 236.953, 0.405, 1690.914, 279.9, 279.9, 14.1, 14.1, 280.1, 279.1, 14.1, 14.0,219.203, 239.503, 0.342, 1677.599, 279.9, 279.7, 13.9, 13.9, 279.9, 278.9, 14.0, 13.9,207.413, 226.241, 0.297, 1650.859, 279.5, 279.3, 13.8, 13.8, 279.6, 278.5, 13.9, 13.8,273,269,270,39,102.2,59.99
2017-10-17T06:25+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 647.770, 702.697, 1.044, 5020.345, 221.154, 236.953, 0.405, 1691.242, 280.1, 279.9, 14.1, 14.0, 280.2, 279.6, 14.1, 14.0,219.203, 239.503, 0.342, 1677.923, 279.9, 279.8, 13.9, 13.9, 280.0, 279.4, 14.0, 13.9,207.413, 226.241, 0.297, 1651.180, 279.5, 279.3, 13.8, 13.8, 279.6, 279.1, 13.8, 13.8,271,270,270,39,102.2,59.99
2017-10-17T06:35+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 647.770, 702.697, 1.044, 5021.374, 221.154, 236.953, 0.405, 1691.588, 280.9, 281.1, 14.1, 14.1, 281.4, 280.7, 14.1, 14.1,219.203, 239.503, 0.342, 1678.266, 280.7, 280.8, 14.0, 14.0, 281.1, 280.4, 14.0, 14.0,207.413, 226.241, 0.297, 1651.520, 280.3, 280.4, 13.9, 13.9, 280.7, 280.0, 13.9, 13.8,272,271,270,39,102.2,59.99
2017-10-17T06:40+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 647.770, 702.697, 1.044, 5022.355, 221.154, 236.953, 0.405, 1691.918, 280.9, 280.9, 14.1, 14.1, 281.1, 280.4, 14.1, 14.1,219.203, 239.503, 0.342, 1678.593, 280.6, 280.7, 14.0, 14.0, 281.0, 280.3, 14.0, 13.9,207.413, 226.241, 0.297, 1651.844, 280.2, 280.3, 13.8, 13.9, 280.5, 279.8, 13.9, 13.8,272,270,268,39,102.2,59.99
2017-10-17T06:50+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 647.770, 702.697, 1.044, 5024.233, 221.154, 236.953, 0.405, 1692.550, 281.1, 281.0, 14.1, 14.1, 281.4, 280.3, 14.1, 14.1,219.203, 239.503, 0.342, 1679.219, 280.8, 280.8, 14.0, 14.0, 281.2, 280.1, 14.0, 14.0,207.413, 226.241, 0.297, 1652.464, 280.5, 280.5, 13.9, 13.9, 280.8, 279.7, 13.9, 13.8,272,270,270,39,102.2,60.02
2017-10-17T06:55+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 647.770, 702.697, 1.044, 5025.216, 221.154, 236.953, 0.405, 1692.880, 280.1, 281.2, 14.1, 14.1, 281.7, 276.7, 14.1, 13.9,219.203, 239.503, 0.342, 1679.547, 279.9, 280.8, 13.9, 14.0, 281.4, 276.7, 14.0, 13.8,207.413, 226.241, 0.297, 1652.789, 279.6, 280.5, 13.8, 13.9, 281.0, 276.4, 13.9, 13.7,272,270,270,39,102.2,59.99
2017-10-17T07:05+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 647.770, 702.697, 1.044, 5027.100, 221.154, 236.953, 0.405, 1693.514, 280.3, 280.3, 14.1, 14.1, 280.5, 280.0, 14.1, 14.0,219.203, 239.503, 0.342, 1680.175, 280.1, 280.1, 14.0, 14.0, 280.4, 279.9, 14.0, 13.9,207.413, 226.241, 0.297, 1653.411, 279.6, 279.6, 13.8, 13.8, 279.8, 279.4, 13.9, 13.8,270,269,269,39,102.2,60.02
2017-10-17T07:10+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 647.770, 702.697, 1.044, 5027.361, 221.154, 236.953, 0.405, 1693.602, 280.7, 280.9, 14.1, 14.1, 281.0, 280.0, 14.1, 14.0,219.203, 239.503, 0.342, 1680.262, 280.4, 280.6, 14.0, 14.0, 280.8, 279.7, 14.0, 13.9,207.413, 226.241, 0.297, 1653.497, 280.0, 280.2, 13.9, 13.9, 280.4, 279.3, 13.9, 13.8,271,270,271,39,102.2,59.95
2017-10-17T07:20+0000, 1000, RMP-NTO-01_Pad_277V_1500kVA, 11201001.0349017, 647.770, 702.697, 1.044, 5028.272, 221.154, 236.953, 0.405, 1693.908, 280.7, 280.6, 14.1, 14.1, 280.9, 279.8, 14.1, 14.1,219.203, 239.503, 0.342, 1680.566, 280.5, 280.6, 14.0, 14.0, 280.9, 279.6, 14.0, 13.9,207.413, 226.241, 0.297, 1653.798, 280.1, 280.1, 13.9, 13.9, 280.4, 279.1, 13.9, 13.8,270,269,268,39,102.2,60.02
