TIME,XFID,NAME,SERIALNUMBER,KWH,KVAH,KWH-REV,KVAH-REV,KWHA,KVAHA,KWHA-REV,KVAHA-REV,VRMSA,VAVGA,IRMSA,IAVGA,VMAXA,VMINA,IMAXA,IMINA,KWHB,KVAHB,KWHB-REV,KVAHB-REV,VRMSB,VAVGB,IRMSB,IAVGB,VMAXB,VMINB,IMAXB,IMINB,KWHC,KVAHC,KWHC-REV,KVAHC-REV,VRMSC,VAVGC,IRMSC,IAVGC,VMAXC,VMINC,IMAXC,IMINC,ANGLEA,ANGLEB,ANGLEC,TEMPC,TEMPF,LINE-FREQ
2018-11-20T06:00+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113650.428,122963.377,7036.485,8454.578,39299.724,42803.487,2381.995,2856.957,282.2,282.2,65.4,63.6,282.5,281.9,66.5,61.8,39318.805,41752.632,2389.104,2741.075,283.5,283.5,69.1,67.8,283.8,283.1,70.7,64.5,35031.899,38407.258,2265.386,2856.546,283.4,283.5,75.7,74.9,283.7,283.2,76.8,71.8,19,8,24,18,64.4,59.95
2018-11-20T06:01+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113651.338,122964.350,7036.485,8454.578,39300.003,42803.788,2381.995,2856.957,282.8,282.4,62.0,63.9,282.8,281.9,67.3,61.0,39319.120,41752.959,2389.104,2741.075,284.0,283.6,68.0,69.1,284.0,283.2,72.0,66.5,35032.215,38407.603,2265.386,2856.546,283.8,283.5,69.6,72.9,283.9,283.0,78.0,68.2,15,8,25,18,64.4,59.95
2018-11-20T06:02+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113652.229,122965.299,7036.485,8454.578,39300.279,42804.083,2381.995,2856.957,282.6,282.7,64.1,62.7,282.9,282.4,65.1,61.3,39319.431,41753.281,2389.104,2741.075,283.7,283.8,69.3,68.1,284.0,283.6,69.6,66.6,35032.519,38407.935,2265.386,2856.546,283.6,283.7,71.6,70.3,284.0,283.5,72.7,68.7,17,9,25,18,64.4,59.95
2018-11-20T06:03+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113653.086,122966.218,7036.485,8454.578,39300.547,42804.374,2381.995,2856.957,282.9,282.8,63.1,61.5,283.1,282.6,64.4,57.7,39319.722,41753.584,2389.104,2741.075,284.0,283.9,64.2,63.9,284.1,283.7,69.6,60.3,35032.817,38408.260,2265.386,2856.546,283.9,283.9,70.1,68.7,284.2,283.7,72.0,65.5,19,10,23,18,64.4,59.95
2018-11-20T06:04+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113653.934,122967.129,7036.485,8454.578,39300.811,42804.661,2381.995,2856.957,282.9,282.8,59.4,61.0,283.0,282.6,63.4,59.3,39320.009,41753.883,2389.104,2741.075,284.1,284.0,62.9,63.2,284.2,283.7,64.4,62.1,35033.114,38408.585,2265.386,2856.546,283.9,283.9,66.9,68.5,284.2,283.7,70.5,66.6,19,9,26,18,64.4,59.95
2018-11-20T06:05+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113654.736,122967.991,7036.485,8454.578,39301.066,42804.940,2381.995,2856.957,283.0,282.8,58.3,59.0,283.1,282.5,60.9,56.7,39320.274,41754.160,2389.104,2741.075,284.3,284.1,57.4,58.4,284.4,283.7,63.6,56.5,35033.396,38408.891,2265.386,2856.546,284.3,284.1,64.0,64.7,284.5,283.6,68.4,63.0,19,10,24,18,64.4,59.95
2018-11-20T06:06+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113655.534,122968.859,7036.485,8454.578,39301.321,42805.221,2381.995,2856.957,282.5,282.8,74.7,60.8,283.1,280.1,189.2,56.0,39320.535,41754.437,2389.104,2741.075,283.7,284.1,73.1,59.5,284.5,281.4,184.5,54.8,35033.678,38409.201,2265.386,2856.546,283.9,284.1,81.6,66.7,284.4,281.3,194.1,62.6,24,14,25,18,64.4,59.95
2018-11-20T06:07+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113656.587,122969.987,7036.485,8454.578,39301.658,42805.591,2381.995,2856.957,282.7,282.6,71.8,78.5,282.9,282.3,84.6,71.8,39320.875,41754.790,2389.104,2741.075,284.2,283.9,66.2,74.5,284.2,283.7,77.5,66.2,35034.054,38409.606,2265.386,2856.546,284.2,284.0,79.5,85.6,284.2,283.6,93.1,79.4,27,16,25,18,64.4,59.95
2018-11-20T06:08+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113657.481,122970.964,7036.485,8454.578,39301.941,42805.910,2381.995,2856.957,282.5,282.6,65.6,67.5,283.1,282.3,72.0,65.2,39321.160,41755.090,2389.104,2741.075,283.9,284.1,60.6,63.2,284.6,283.8,67.7,60.6,35034.380,38409.964,2265.386,2856.546,284.0,284.2,72.8,75.3,284.5,283.8,79.2,72.5,28,17,26,18,64.4,59.99
2018-11-20T06:09+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113658.348,122971.909,7036.485,8454.578,39302.216,42806.219,2381.995,2856.957,282.8,282.7,66.9,65.8,283.0,282.3,68.8,64.1,39321.435,41755.379,2389.104,2741.075,284.1,284.1,61.9,61.2,284.3,283.8,62.6,59.2,35034.697,38410.311,2265.386,2856.546,284.2,284.2,73.8,73.4,284.4,284.0,76.5,71.4,28,16,27,18,64.4,59.99
2018-11-20T06:10+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113659.233,122972.873,7036.485,8454.578,39302.500,42806.538,2381.995,2856.957,282.4,282.6,69.0,67.7,282.9,282.4,69.5,65.5,39321.714,41755.673,2389.104,2741.075,283.7,284.0,63.2,62.2,284.2,283.7,64.1,60.4,35035.019,38410.662,2265.386,2856.546,283.7,284.1,74.7,74.2,284.3,283.7,76.0,72.6,26,17,25,18,64.4,59.95
2018-11-20T06:11+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113660.080,122973.790,7036.485,8454.578,39302.773,42806.843,2381.995,2856.957,282.7,282.7,63.8,64.2,282.9,282.2,82.1,60.4,39321.974,41755.948,2389.104,2741.075,284.2,284.1,56.4,57.5,284.3,283.6,73.6,55.1,35035.333,38410.999,2265.386,2856.546,284.4,284.2,70.9,70.8,284.5,283.7,88.3,66.9,24,10,19,18,64.4,59.99
2018-11-20T06:12+0000,1003,RMP_PackSize_01_Pad_277V_500kVA,11401004.4700095,113660.929,122974.700,7036.485,8454.578,39303.046,42807.144,2381.995,2856.957,282.8,282.8,64.5,64.0,283.0,282.6,66.0,62.2,39322.234,41756.221,2389.104,2741.075,284.2,284.3,56.9,57.8,284.5,284.0,59.7,56.2,35035.649,38411.335,2265.386,2856.546,284.3,284.4,70.6,71.0,284.6,284.1,72.6,69.0,23,9,20,18,64.4,59.95
