,Start Date,Start Time Zone,End Date,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Type,Port Number,Plug Type,EVSE ID,Fee,Ended By,Plug In Event Id,Start SOC,End SOC
0,1/2/2019 16:15,MST,1/2/2019 16:33,MST,0:17:41,0:17:20,8.947,3.758,1.123,DC Fast,1B,Combo,158787,,Plug Out at Station,1546470930,31%,81%
1,1/2/2019 16:08,MST,1/2/2019 16:12,MST,0:04:07,0:03:28,2.321,0.975,0.291,DC Fast,1B,Combo,158787,,Outlet Offline,1546470496,18%,31%
2,1/2/2019 15:50,MST,1/2/2019 16:03,MST,0:13:44,0:12:08,0.613,0.257,0.077,DC Fast,1B,Combo,158787,,Plug Out at Station,1546469395,15%,18%
3,1/2/2019 12:44,MST,1/2/2019 14:05,MST,1:21:23,1:21:04,37.819,15.884,4.746,DC Fast,1B,Combo,158787,,Customer,169,22%,88%
4,12/31/2018 13:30,MST,12/31/2018 13:54,MST,0:24:34,0:24:28,6.682,2.806,0.839,DC Fast,1B,Combo,158787,,Customer,168,60%,94%
5,12/31/2018 13:15,MST,12/31/2018 13:29,MST,0:14:24,0:14:16,10.717,4.501,1.345,DC Fast,1B,Combo,158787,,Customer,167,3%,59%
6,12/30/2018 10:44,MST,12/30/2018 12:04,MST,1:20:37,1:20:32,43.388,18.223,5.445,DC Fast,1B,Combo,158787,,Customer,166,14%,85%
7,12/29/2018 16:26,MST,12/29/2018 16:28,MST,0:02:00,0:00:00,0,0,0,,0,,158787,,Timeout,1546125968,,0%
8,12/29/2018 14:07,MST,12/29/2018 15:06,MST,0:58:56,0:58:52,29.043,12.198,3.645,DC Fast,1B,Combo,158787,,Customer,165,35%,85%
9,12/28/2018 21:42,MST,12/28/2018 22:21,MST,0:38:23,0:38:16,17.9,7.518,2.246,DC Fast,1B,Combo,158787,,Customer,164,3%,92%
10,12/28/2018 21:39,MST,12/28/2018 21:40,MST,0:00:54,0:00:16,0,0,0,DC Fast,1B,Combo,158787,,Outlet Offline,163,0%,0%
11,12/26/2018 0:51,MST,12/26/2018 2:03,MST,1:11:49,1:11:44,35.177,14.774,4.415,DC Fast,1B,Combo,158787,,Plug Out at Station,1545810695,27%,87%
12,12/22/2018 17:23,MST,12/22/2018 18:43,MST,1:19:57,1:19:44,47.073,19.771,5.908,DC Fast,1B,Combo,158787,,Plug Out at Station,162,13%,84%
13,12/20/2018 16:40,MST,12/20/2018 18:23,MST,1:43:09,1:42:55,36.014,15.126,4.52,DC Fast,1B,Combo,158787,,Plug Out at Station,1545349219,38%,98%
14,12/20/2018 12:01,MST,12/20/2018 13:08,MST,1:07:54,1:07:48,38.013,15.965,4.771,DC Fast,1B,Combo,158787,,Customer,161,21%,83%
15,12/17/2018 22:17,MST,12/17/2018 23:18,MST,1:00:57,1:00:48,35.506,14.913,4.456,DC Fast,1B,Combo,158787,,Plug Out at Station,160,24%,82%
16,12/17/2018 10:22,MST,12/17/2018 11:15,MST,0:53:17,0:53:07,29.03,12.193,3.643,DC Fast,1B,Combo,158787,,Plug Out at Station,159,35%,83%
17,12/17/2018 1:55,MST,12/17/2018 3:45,MST,1:50:13,1:50:08,36.123,15.172,4.533,DC Fast,1B,Combo,158787,,Customer,158,45%,100%
18,12/14/2018 14:13,MST,12/14/2018 15:07,MST,0:53:47,0:53:11,24.513,10.295,3.076,DC Fast,1B,Combo,158787,,Plug Out at Station,157,44%,83%
19,12/14/2018 14:10,MST,12/14/2018 14:12,MST,0:02:51,0:00:28,0,0,0,DC Fast,1B,Combo,158787,,Customer,156,0%,0%
20,12/14/2018 12:15,MST,12/14/2018 12:17,MST,0:01:47,0:00:08,0,0,0,DC Fast,1B,Combo,158787,,Outlet Offline,155,0%,0%
21,12/14/2018 12:11,MST,12/14/2018 12:13,MST,0:01:43,0:00:28,0,0,0,DC Fast,1B,Combo,158787,,Outlet Offline,154,0%,0%
22,12/9/2018 16:31,MST,12/9/2018 17:12,MST,0:40:37,0:40:28,24.676,10.364,3.097,DC Fast,1B,Combo,158787,,Customer,153,28%,67%
23,11/27/2018 1:46,MST,11/27/2018 2:38,MST,0:52:13,0:51:56,24.354,10.229,3.056,DC Fast,1B,Combo,158787,,Plug Out at Station,152,22%,99%
24,11/27/2018 1:42,MST,11/27/2018 1:45,MST,0:03:28,0:00:00,0,0,0,DC Fast,1B,Combo,158787,,Plug Out at Station,151,0%,0%
25,11/21/2018 18:04,MST,11/21/2018 18:52,MST,0:47:53,0:47:44,23.718,9.962,2.977,DC Fast,1B,Combo,158787,,Plug Out at Station,149,25%,99%
26,11/21/2018 17:54,MST,11/21/2018 17:55,MST,0:00:58,0:00:20,0,0,0,DC Fast,1B,Combo,158787,,Outlet Offline,148,0%,0%
27,11/21/2018 16:31,MST,11/21/2018 16:33,MST,0:02:04,0:00:00,0,0,0,,0,,158787,,Timeout,147,,0%
28,11/16/2018 21:55,MST,11/16/2018 22:48,MST,0:53:10,0:52:31,33.969,14.267,4.263,DC Fast,1B,Combo,158787,,Plug Out at Station,146,16%,74%
29,11/16/2018 18:48,MST,11/16/2018 19:59,MST,1:11:05,1:10:36,42.137,17.698,5.288,DC Fast,1B,Combo,158787,,Plug Out at Station,1542419326,12%,82%
30,11/15/2018 11:54,MST,11/15/2018 13:01,MST,1:07:00,1:06:24,37.596,15.79,4.718,DC Fast,1B,Combo,158787,,Plug Out at Station,1542308092,19%,84%
31,11/12/2018 12:22,MST,11/12/2018 13:03,MST,0:41:12,0:41:03,22.717,9.541,2.851,DC Fast,1A,CHAdeMO,158787,,Customer,145,4%,97%
32,11/9/2018 20:43,MST,11/9/2018 20:57,MST,0:13:51,0:13:44,9.293,3.903,1.166,DC Fast,1A,CHAdeMO,158787,,Customer,144,50%,88%
33,11/9/2018 20:21,MST,11/9/2018 20:37,MST,0:15:14,0:14:36,10.088,4.237,1.266,DC Fast,1A,CHAdeMO,158787,,Outlet Offline,143,5%,50%
34,11/6/2018 12:17,MST,11/6/2018 14:01,MST,1:43:48,1:43:20,38.613,16.217,4.846,DC Fast,1B,Combo,158787,,Plug Out at Station,1541531863,36%,98%
35,11/3/2018 11:43,MDT,11/3/2018 11:45,MDT,0:02:05,0:00:00,0,0,0,,0,,158787,,Timeout,142,,0%
36,11/3/2018 9:12,MDT,11/3/2018 11:43,MDT,2:31:40,2:31:31,61.121,25.671,7.671,DC Fast,1B,Combo,158787,,Plug Out at Station,141,2%,100%
37,11/1/2018 19:35,MDT,11/1/2018 21:40,MDT,2:04:40,2:04:16,50.267,21.112,6.309,DC Fast,1B,Combo,158787,,Plug Out at Station,140,16%,100%
38,11/1/2018 18:04,MDT,11/1/2018 19:02,MDT,0:58:03,0:57:56,36.767,15.442,4.614,DC Fast,1B,Combo,158787,,Plug Out at Station,139,15%,76%
39,10/31/2018 13:45,MDT,10/31/2018 15:35,MDT,1:50:23,1:49:47,53.543,22.488,6.72,DC Fast,1B,Combo,158787,,Plug Out at Station,138,4%,93%
